date,High,Low,Open,Volume,rsi,macd,bollinger_high,bollinger_low,Close
2010-02-08,5.947122767994307,5.830512257998319,5.881304195345732,478270800,39.97098629746898,-0.1275874254049576,6.522335156488936,5.668002882909258,5.834118843078613
2010-02-09,5.935701994121879,5.853053091266943,5.903243530501275,632886800,42.71142367218799,-0.1233158539723389,6.497324019754752,5.651178616201059,5.896331310272217
2010-02-10,5.908654230809668,5.83832701959435,5.887314866012588,370361600,41.652904149372944,-0.12112917472082518,6.480402587679347,5.630231834622899,5.864173412322998
2010-02-11,6.003322675434187,5.832314087184033,5.856958677782569,550345600,46.399136674101996,-0.10952465938341671,6.444300200695583,5.630329344516209,5.9708638191223145
2010-02-12,6.060126622074822,5.875593700290378,5.954034918536406,655468800,48.56946985026502,-0.09508481520189704,6.41325314390824,5.634177419064783,6.022258281707764
2010-02-16,6.1217378404670475,6.056520362588575,6.06914300963386,543737600,52.24685253046103,-0.0754475226356437,6.4043735188654285,5.635453541834034,6.113022327423096
2010-02-17,6.140371229837668,6.036683914686757,6.136764644742558,436396800,51.13854272624844,-0.06124024207529555,6.32989186044507,5.672397720853759,6.0874762535095215
2010-02-18,6.127747825701358,6.038486460699521,6.059824617340831,422825200,51.63246077271537,-0.04850034629806732,6.2760949795864915,5.699746828732601,6.09889554977417
2010-02-19,6.107012122341578,6.0441986254281055,6.066739785971324,415469600,49.83354100340256,-0.040986932803686926,6.242217030447693,5.714390311318664,6.061028957366943
2010-02-22,6.085973810076043,5.986494567334306,6.081165430661595,390563600,48.04505610740157,-0.037630152585806265,6.2464134276937475,5.71821860660801,6.023460865020752
2010-02-23,6.050809709847602,5.881905320461514,6.010837527553492,575094800,43.52338880190491,-0.042626960215939924,6.232551659189813,5.7140177835592105,5.922478199005127
2010-02-24,6.054115982225373,5.945920431423963,5.95764183344692,460566400,49.05555151329403,-0.03742505813504504,6.206780793563688,5.723920128448642,6.030673980712891
2010-02-25,6.096790213511571,5.917367085148454,5.932093567587872,665126000,50.980203464131435,-0.029710587616657236,6.166909434420658,5.746119425671505,6.070943832397461
2010-02-26,6.16621754725171,6.070945999720931,6.082366451119776,507460800,54.59266412139723,-0.017046337153121094,6.190919597473433,5.73812808242769,6.149687767028809
2010-03-01,6.296351638232682,6.174632215326019,6.1836482756722,550093600,59.90057262319582,0.003547057484928118,6.237560104097434,5.742369295392922,6.28102445602417
2010-03-02,6.336324368549187,6.2434568121648235,6.309275382616517,566546400,59.65998927367643,0.01930544932712941,6.279841837789052,5.742524018381603,6.276817321777344
2010-03-03,6.307471754105124,6.249467454156765,6.279521524688211,372052800,60.249491462237124,0.03258245896740153,6.319715653610619,5.743133152770606,6.2912421226501465
2010-03-04,6.339029897011529,6.270205427066917,6.289741499920631,366041200,61.97035343873568,0.045922011123128215,6.3644200803719935,5.732931089214188,6.332718372344971
2010-03-05,6.602904981665259,6.450529979692463,6.459846990689096,899620400,70.25141374578916,0.07560512433375788,6.4556729254726575,5.722524076938231,6.580364227294922
2010-03-08,6.614625650416566,6.559326286398969,6.61222166172306,429889600,70.36107313035868,0.09831121361714512,6.535879330901936,5.713305802078412,6.584271430969238
2010-03-09,6.7621919262095584,6.548506983317725,6.5611296294393195,920259200,73.54397811916512,0.12442661604394711,6.6279946508320995,5.708047085770684,6.7026848793029785
